ano,mes,sigla_uf,empresa,tecnologia,modalidade,total_acessos
2022,1,BA,SURF TELECOM SA,LTE,Pós-pago,30
2022,1,PA,CLARO,WCDMA,Pós-pago,127036
2022,1,PA,CLARO,LTE,Pós-pago,871977
2022,1,PA,America Net S.a.,LTE,Pós-pago,150
2022,1,AP,TIM,GSM,Pós-pago,2383
2022,1,AP,VIVO,GSM,Pré-pago,42200
2022,1,SP,TIM,WCDMA,Pós-pago,553164
2022,1,SP,VIVO,WCDMA,Pós-pago,6581152
2022,1,SP,VIVO,LTE,Pós-pago,22472339
2022,1,SP,OI,WCDMA,Pré-pago,457700
2022,1,RO,TIM,GSM,Pré-pago,12128
2022,1,RO,OI,WCDMA,Pré-pago,14482
2022,1,AC,TIM,WCDMA,Pré-pago,1139
2022,1,AC,CLARO,GSM,Pós-pago,4041
2022,1,AM,CLARO,WCDMA,Pós-pago,138562
2022,1,AM,OI,LTE,Pré-pago,621098
2022,1,DF,TIM,GSM,Pós-pago,32302
2022,1,GO,TIM,WCDMA,Pré-pago,44246
2022,1,GO,CLARO,GSM,Pré-pago,68555
2022,1,GO,VIVO,LTE,Pré-pago,1552411
2022,1,GO,SURF TELECOM SA,LTE,Pré-pago,21534
2022,1,GO,VIVO,WCDMA,Pré-pago,96862
2022,1,DF,CLARO,LTE,Pós-pago,1430500
2022,1,DF,VIVO,NR,Pós-pago,83217
2022,1,DF,America Net S.a.,LTE,Pós-pago,2022
2022,1,PR,TIM,GSM,Pós-pago,246547
2022,1,PR,VIVO,WCDMA,Pós-pago,527008
2022,1,PR,OI,LTE,Pré-pago,1329925
2022,1,PR,SURF TELECOM SA,GSM,Pré-pago,17160
2022,1,SC,TIM,LTE,Pós-pago,3532777
2022,1,SC,TIM,LTE,Pré-pago,3817011
2022,1,SC,OI,LTE,Pós-pago,521740
2022,1,SC,VIVO,CDMA IS 95,Pré-pago,9
2022,1,PB,TIM,LTE,Pré-pago,1402671
